This file was created by CMPT_ME_BEME_OP_INV_RETS using the 202208 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME, BEME, and OP.

The portfolios are constructed at the end of June.  BEME is book value at the last fiscal year end of the prior calendar year
divided by ME at the end of December of the prior year. OP is operating profits (sales - cost
of goods sold - selling, general and administrative expenses - interest expense) divided by book
at the last fiscal year end of the prior calendar year.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

Please be aware that some of the value-weight averages of operating profitability for
deciles 1 and 10 are extreme. These are driven by extraordinary values of OP for
individual firms. We have spot checked the accounting data that produce the
extraordinary values and all the numbers we examined accurately reflect the
data in the firm’s accounting statements.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoBM LoOP,ME1 BM1 OP2,ME1 BM1 OP3,SMALL LoBM HiOP,ME1 BM2 OP1,ME1 BM2 OP2,ME1 BM2 OP3,ME1 BM2 OP4,ME1 BM3 OP1,ME1 BM3 OP2,ME1 BM3 OP3,ME1 BM3 OP4,SMALL HiBM LoOP,ME1 BM4 OP2,ME1 BM4 OP3,SMALL HiBM HiOP,BIG LoBM LoOP,ME2 BM1 OP2,ME2 BM1 OP3,BIG LoBM HiOP,ME2 BM2 OP1,ME2 BM2 OP2,ME2 BM2 OP3,ME2 BM2 OP4,ME2 BM3 OP1,ME2 BM3 OP2,ME2 BM3 OP3,ME2 BM3 OP4,BIG HiBM LoOP,ME2 BM4 OP2,ME2 BM4 OP3,BIG HiBM HiOP
196602,  14.8776,   4.0313,  -0.2631,   3.7154,   4.5833,   2.4372,   3.2271,   2.4763,   5.7377,   0.7821,   2.7533,  -2.7682,   4.3152,   0.2643,   7.4643,   1.4900,  -0.4131,  -3.2248,  -2.9993,  -0.8532,  -1.9573,  -4.6116,  -2.5476,  -1.4028,  -3.2198,  -0.8247,  -1.1155,   1.5860,  -2.2362,  -0.0927,   0.5980,   0.8355
196603,  -5.1426,   5.5633,  -0.6753,  -2.0737,   1.3639,  -5.5957,  -2.5720,  -5.7538,  -5.5349,  -2.6614,  -1.1927,  -1.1673,  -2.8828,   0.3537,  -4.1790,  32.1295,  -6.6187,  -1.1544,  -1.3667,  -1.0172,  -4.3638,  -2.2113,  -2.4394,  -2.1229,  -1.6824,  -4.6484,  -1.3124,  -0.3081,  -2.7592,  -3.6790,  -1.3617,  -8.7220
196604,   4.2244,   5.3280,   4.4960,   6.2777,   6.7918,   5.6713,   4.5943,   3.6516,   8.4761,   7.5527,   6.7680,   8.6527,   3.9831,   1.9077,  -5.2247,   8.2885,   3.3701,   2.6144,   1.6079,   2.1879,   3.9297,   3.9582,   1.4837,  -1.1932,   0.3621,   0.8885,   2.0874,   6.0659,   2.5037,   2.4114,   0.5230,  -3.0802
196605, -15.1342, -13.3479,  -9.0821,  -9.3900, -11.7357, -10.4470,  -9.9529, -10.2044, -13.4880,  -9.0537, -10.7553, -13.7950, -11.6272,  -9.2955,  -1.7829,  -9.9651,  -8.4443,  -4.7668,  -3.4786,  -4.9425,  -6.0921,  -4.8031,  -3.5693,  -5.2520,  -5.5750,  -4.7245,  -7.4798,  -9.3155,  -7.6131,  -6.2552,  -6.0749,  -9.1023
196606,  -0.0485,   3.0294,   1.6903,   0.0543,   3.6067,  -1.1044,   0.1382,   0.5200,  -0.8443,   0.8962,   1.3350,   0.2640,  -1.3564,  -1.7935,  -4.1652,   4.7484,  -0.8040,  -0.3842,  -2.0843,  -2.1688,  -2.5906,  -2.7154,  -2.6451,  -0.5344,  -3.0632,   0.7569,   1.6385,   3.9419,   0.8215,  -1.9334,   2.2804,  -0.1307
196607,  -3.1931,  -1.6144,  -1.2076,  -2.0752,  -4.6405,  -0.8238,  -1.0734,  -2.1274,  -0.2806,  -1.4318,  -2.3695,  -2.8462,  -1.8979,  -0.1031,  -2.6081,  -3.2241,  -5.8208,  -0.2117,  -0.5084,  -1.5246,  -2.8933,  -1.3912,  -0.7825,  -2.2755,  -1.7680,   0.3241,  -1.1469,  -2.5835,   0.0657,  -0.4672,  -1.8271, -10.5128
196608, -14.9711, -12.5170, -10.7202, -11.1253, -12.3173,  -9.5447,  -9.9550,  -9.4179, -11.6632, -11.7271, -10.0738,  -7.0115, -10.3072, -10.0929, -10.3139,  -9.3040,  -2.6207,  -3.7645,  -8.3174,  -8.2798,  -8.9598,  -8.4948,  -8.1984,  -9.7469,  -5.5141,  -8.3942,  -5.3697, -15.4568,  -8.7870,  -6.0837,  -6.0480,   2.5788
196609,  -1.3218,   0.1977,  -3.7337,  -1.8999,  -2.2579,  -3.2528,  -0.5583,  -1.5720,  -0.5931,  -1.4972,  -0.7961,  -1.9226,  -2.7641,  -1.8444,  -1.7790,  -0.4136,  -3.4918,   3.5794,  -0.1635,  -1.8839,   2.1616,   2.4471,  -2.4931,  -0.0224,   0.2325,  -0.1935,  -0.1909,  -3.2878,   1.4637,  -3.6107,  -2.7810,  -6.4246
196610,  -7.5765,  -4.3755,  -0.5715,  -3.6935,  -6.7952,   1.6507,   0.9608,  -0.9356,  -0.0750,   1.2071,  -1.0147,   1.4113,  -0.3691,   0.9275,  -3.7430,  -5.5399,  -2.1514,   7.0455,   4.0437,   2.2671,  10.4120,   6.8184,   4.1510,  -0.2317,   9.1822,   8.7498,   2.0337,  -2.2128,   5.3931,   5.2104,   1.6371,   9.8507
196611,   9.5486,   5.5112,   5.0857,   7.8539,   8.7388,   3.3168,   2.0533,   6.2099,   2.4696,  -0.1163,  -0.9657,   3.8278,   1.3859,  -0.9527,  -0.3502,  -0.6735,   5.0503,  -0.6148,   3.6252,   3.9595,   0.0497,  -0.6999,  -0.3943,   4.6473,  -3.0284,  -4.1646,   1.2898,  14.5490,   0.0044,  -4.8014,  -4.4268,  -5.9783
196612,   2.5080,   5.0639,   3.1163,   3.6694,   4.6136,   1.0439,   1.7039,   1.8014,  -0.0118,   2.4110,  -1.1487,   0.8552,  -0.5642,   1.3174,  -0.0053,  -4.4532,  -6.0305,   1.8754,   0.7388,  -1.1640,  -1.4542,   1.0702,   0.9247,   3.5277,   2.1976,   0.4865,   0.7526,   2.2765,  -1.2990,   3.6903,   0.3330,  -2.3121
196701,  17.1512,  20.3211,  15.5375,  19.4915,  19.8012,  17.6400,  11.4871,  17.9205,  19.2574,  14.9099,  19.7824,  14.1581,  15.6988,  17.8326,  16.4226,  11.6457,  11.3887,   4.6495,   5.8918,   8.3954,   7.2133,   4.2715,   8.3894,   7.7008,   5.2983,   5.4628,   6.2235,  11.7386,   9.5150,  10.5817,  15.0734,  17.4556
196702,   6.4152,   4.0107,   2.7770,   4.1158,   4.4480,   1.0543,   1.9560,   3.5729,   4.9918,  -0.7231,   2.3180,   8.8015,   4.9289,   0.4130,   8.1856,   4.9182,   0.0275,   1.3220,   1.7697,   2.2192,   1.2135,  -0.5333,  -0.1185,   1.2420,  -0.5597,  -2.5966,   0.0481,  -2.5162,  -2.0355,  -1.6292,  -0.3493,  -4.5340
196703,   5.8566,   5.4030,   7.9341,   5.9330,   8.4906,   8.4472,   5.7286,   6.6064,   6.3827,   6.8055,   2.7338,   0.3357,   3.5452,   5.8388,  -1.7443,  -3.1298,   1.5490,   7.1967,   2.7422,   4.7343,   1.7092,   2.1162,   2.9630,   6.0410,   2.9573,   3.7385,   3.0937,   9.3725,   5.5577,   5.4276,   9.3876,  10.8179
196704,   3.5386,   4.4268,   4.2735,   5.6287,   3.7050,   2.9262,   4.3007,   5.0742,   2.7064,   3.5249,   3.5771,  -1.2880,   4.4730,   5.1023,   5.1150,  10.7114,  12.8740,   2.4215,   3.1255,   7.6831,   1.8817,   3.5906,   3.8157,   2.1592,   0.4976,   1.1915,   3.6656,   1.9808,   3.6213,   0.9938,   5.0764,  -4.7619
196705,   1.8694,   1.0113,  -0.6147,  -2.8865,  -3.1765,  -2.6042,  -1.7916,  -0.7516,  -1.1282,  -2.4149,  -1.5326,  -3.4378,  -2.0716,  -1.0620,   0.1363,  -6.8424,  -7.8768,  -2.5981,  -5.6822,  -6.0244,  -3.4298,  -3.8313,  -4.0643,  -3.1055,  -5.7263,  -3.9473,  -4.7117,  -4.1052,  -3.8647,  -2.5779,  -6.0703,  -4.0000
196706,  13.5901,  14.6289,   9.9367,   8.0865,   9.2460,  12.2883,   3.4927,   9.6248,   9.1480,   8.9782,   7.7234,   7.4033,   8.0473,   5.8935,  10.4726,  13.9828,   2.0335,   0.6274,   0.6035,   1.8209,   0.3927,  -0.7312,   0.4840,   3.4719,   1.8618,   1.1675,   3.3186,  -0.6818,   4.4175,   1.8000,   1.0316,   0.0000
196707,   9.0801,   4.5321,   4.1021,   7.7177,   9.1338,   7.3694,   7.7139,   9.8842,   8.2041,   9.8564,  10.9940,   7.7164,   9.7780,  10.7255,  10.7674,  22.4939,  12.9927,   3.7963,   8.4560,   2.8881,   6.0219,   3.0899,   3.6444,   8.0669,  -0.2679,   5.8750,   8.0322,   3.9652,   8.0374,   6.6619,   4.7128,  10.9375
196708,  -1.6765,  -4.4487,   0.1299,   0.6922,  -0.3400,   1.3253,  -0.0010,   0.5191,  -0.8437,  -0.8025,   0.3810,   4.5002,  -0.4093,  -1.3133,  -0.2640,   6.1055,  -1.1344,  -0.5019,  -0.6167,  -1.0224,  -0.9662,  -2.9002,  -0.6784,  -1.9130,  -1.7592,  -1.2985,  -1.6012,  -5.1872,  -1.0931,   0.2445,   0.1501,   2.1127
196709,   5.6694,   7.3888,   5.3109,   5.9140,   8.6402,   6.7676,   4.2595,   4.0385,   7.4434,   4.6081,   6.0001,   1.6914,   5.1892,   5.0306,   1.0372,   8.3866,   9.4625,  -0.1237,   0.7685,   5.6758,   8.2611,  -0.6606,   3.0240,   2.6467,   3.8389,   1.5924,   4.0471,  -0.5539,   0.5732,   2.6872,   3.5544,   1.1494
196710,  -2.4403,   2.0759,   1.4459,  -2.4006,  -0.6519,  -2.9221,  -1.5923,  -5.3368,  -2.7450,  -1.4231,  -6.9735,  -5.1614,  -2.7003,  -4.7987,  -7.4329,  -0.0530,  -1.6680,   0.2278,  -5.8116,   1.4010,  -0.4925,  -5.4374,  -3.4364,  -4.4775,  -3.2437,  -2.6117,  -6.0404,  -2.8918,  -4.4374,  -6.4711,  -4.1875, -13.4091
